ui_timestamp,sequence,backend_bid,backend_ask,backend_event_time,websocket_bid,websocket_ask,ui_bid,ui_ask,ui_event_time,receipt_to_dom_ms
2026-09-21T08:20:03.946000+00:00,14,4353.68,4354.09,2026-09-21T08:20:03.868000Z,4353.68,4354.09,4353.68,4354.09,2026-09-21T08:20:03.868000Z,174.555
2026-09-21T08:20:04.202000+00:00,16,4353.73,4354.14,2026-09-21T08:20:04.287000Z,4353.73,4354.14,4353.73,4354.14,2026-09-21T08:20:04.287000Z,16.608
2026-09-21T08:20:04.485000+00:00,17,4353.73,4354.14,2026-09-21T08:20:04.467000Z,4353.73,4354.14,4353.73,4354.14,2026-09-21T08:20:04.467000Z,97.415
2026-09-21T08:20:04.720000+00:00,18,4353.76,4354.17,2026-09-21T08:20:04.670000Z,4353.76,4354.17,4353.76,4354.17,2026-09-21T08:20:04.670000Z,126.195
2026-09-21T08:20:04.971000+00:00,19,4353.76,4354.17,2026-09-21T08:20:04.868000Z,4353.76,4354.17,4353.76,4354.17,2026-09-21T08:20:04.868000Z,172.937
2026-09-21T08:20:05.225000+00:00,21,4353.64,4354.05,2026-09-21T08:20:05.270000Z,4353.64,4354.05,4353.64,4354.05,2026-09-21T08:20:05.270000Z,14.989
2026-09-21T08:20:05.508000+00:00,22,4353.63,4354.05,2026-09-21T08:20:05.381000Z,4353.63,4354.05,4353.63,4354.05,2026-09-21T08:20:05.381000Z,95.527
2026-09-21T08:20:05.750000+00:00,23,4353.61,4354.03,2026-09-21T08:20:05.693000Z,4353.61,4354.03,4353.61,4354.03,2026-09-21T08:20:05.693000Z,131.633
2026-09-21T08:20:05.997000+00:00,24,4353.61,4354.03,2026-09-21T08:20:05.869000Z,4353.61,4354.03,4353.61,4354.03,2026-09-21T08:20:05.869000Z,173.477
2026-09-21T08:20:06.251000+00:00,26,4353.62,4354.03,2026-09-21T08:20:06.317000Z,4353.62,4354.03,4353.62,4354.03,2026-09-21T08:20:06.317000Z,14.347
2026-09-21T08:20:06.544000+00:00,27,4353.66,4354.07,2026-09-21T08:20:06.434000Z,4353.66,4354.07,4353.66,4354.07,2026-09-21T08:20:06.434000Z,100.816
2026-09-21T08:20:06.787000+00:00,28,4353.63,4354.04,2026-09-21T08:20:06.691000Z,4353.63,4354.04,4353.63,4354.04,2026-09-21T08:20:06.691000Z,138.901
2026-09-21T08:20:07.055000+00:00,30,4353.62,4354.03,2026-09-21T08:20:07.039000Z,4353.62,4354.03,4353.62,4354.03,2026-09-21T08:20:07.039000Z,2.826
2026-09-21T08:20:07.312000+00:00,31,4353.62,4354.03,2026-09-21T08:20:07.039000Z,4353.62,4354.03,4353.62,4354.03,2026-09-21T08:20:07.039000Z,56.955
2026-09-21T08:20:07.596000+00:00,32,4353.62,4354.04,2026-09-21T08:20:07.591000Z,4353.62,4354.04,4353.62,4354.04,2026-09-21T08:20:07.591000Z,134.804
2026-09-21T08:20:07.939000+00:00,34,4353.62,4354.03,2026-09-21T08:20:07.959000Z,4353.62,4354.03,4353.62,4354.03,2026-09-21T08:20:07.959000Z,57.264
2026-09-21T08:20:08.141000+00:00,35,4353.62,4354.04,2026-09-21T08:20:08.183000Z,4353.62,4354.04,4353.62,4354.04,2026-09-21T08:20:08.183000Z,63.623
